,Comments
967,"b'@AppleSupport hi! Why can\xe2\x80\x99t I suddenly not receive text messages? I was able to a few hours ago &amp; now I can\xe2\x80\x99t?! I\xe2\x80\x99ve tried everything via settings &amp; nothing has worked. Other people can text and ring me? Pls assist me , I have sent a dm \xf0\x9f\x98\x8a'"
968,b'@AppleSupport sent u guys a dm \xf0\x9f\x98\x8a'
969,"b'@Apple @AppleTV @AppleSupport  \nThere is a sudden prompt on my AppleTV ""The youtube is no longer available on Appletv 3rd generation""\nR u guys kidding?How can you just wake up one day and make ur product useless?Either honour ur commitment or replace my product\n#consumerrights'"
970,b'@Apple @AppleSupport @TMobile @TMobileHelp @sprintcare @sprint  How do y\xe2\x80\x99all keep telling me to call the other one??? I paid my money. Refund me immediately or send me another phone!!!! This is ridiculous!! https://t.co/D2i8OaSZhX'
971,b'@dananessel @AppleSupport @FBI @GovWhitmer @MIAttyGen @washingtonpost @WashTimes @FoxNews @SenGaryPeters @RepLawrence @FCC @FTC @JoeBiden @SpeakerPelosi @MichStatePolice @MichiganLEO @FBIDetroit @freep @detroitnews @FOX2News @KamalaHarris @Apple @TwitterSupport @briantylercohen @tim_cook @nytimes @AnaKasparian @cenkuygur @TYT @BernieSanders @MISupremeCourt @TomCottonAR @RepRaskin @RepKinzinger @AppleSupport @tim_cook \n\nIf I am trying to play a video I have to hold down the home button to interrupt the Hacker jamming my cellular data. It will try to connect indefinitely but holding down the home button (or sometimes moving the volume bar) and it instantly connects'
972,b'i cant download anything OVER MINECRAFT i hate you @AppleSupport https://t.co/io1kNS5daL'
973,b'@AppleSupport It looks grand ma!'
974,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
975,b'Thousands of kids are forced to work in cobalt mines in the DRC. Some are maimed and even killed doing this.\n\n@AppleSupport @tim_cook @lisapjackson Your products depend on cobalt. Can you guarantee that your supply chain is 100% free of child labor? Anything else is unacceptable!'
976,b'@AppleMusic @AppleSupport Wow the old font'
977,b'I have been an Apple fan for since many years and love the products. I have also come to expect exceptional equality. I bought my iPhone 11 Red Jan 2020 and was surprised to see the amazing red colour is already fading away. \nAnyone else facing this issue?\n@Apple @AppleSupport https://t.co/TXsQ2c0nOX'
978,"b'@AppleSupport @Apple Got no assistance from you guys, even after buying iPhone you guys don\xe2\x80\x99t treat your customer well, this is soo weird @AppleSupport @Apple'"
979,"b'@AppleSupport Hey, I\xe2\x80\x99ve purchased iPhone 12 Pro Max last week, and I\xe2\x80\x99m having trouble using it as display turns cyan sometimes while using the phone, and while switching the phone on, there\xe2\x80\x99s a flash of apple logo which is followed with a normal booting up after 3-4 sec @Apple @AppleSupport'"
980,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
981,b'@AppleSupport Can i stop certain folders (like Desktop and Downloads) to sync. to iCloud on my Mac? How?'
982,b'Can I get a free MacBook Air ? \xf0\x9f\x98\x85\n@tim_cook @Apple @AppleEDU @AppleSupport @stevewoz @MKBHD'
983,b'@AppleSupport help me'
984,"b'@AppleSupport 11 Max Pro\niOS 14.4\n\nI have text notifications on in my settings but the alert won\xe2\x80\x99t ring until I open the text message. It could be a half hour after the message was sent, but not until I open Messages does it ring.'"
985,"b""@AppleSupport Is there a way to fix the language on https://t.co/EkAwIm1l7k\nI heard it's in English for English users, but for me in Sweden it's in Japanese which, well, makes it quite hard to find the songs."""
986,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
987,b'@AppleSupport Check your DM\xe2\x80\x99s please.'
988,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
989,"b'Dear @AppleSupport, are ultrawide HiDPI resolutions beyond 3008x1269 going to be supported on the latest M1 chips via software updates? There\'s definitely a few scaling options missing on a brand new Mac Mini plugged to a Dell 40"" 5k2k display.\n\n#apple #applesilicon #ultrawide'"
990,"b""@AppleSupport It won't play https://t.co/WjNhGQl6g6"""
991,b'@Apple @AppleSupport you are going to be getting calls and questions. I\xe2\x80\x99m at 8 phone calls@in 45 minutes. https://t.co/GwBJtl6SKZ'
992,b'@pstockton @Apple @AppleSupport 3 active mins last Friday!  Up for 16 hours 9000 steps so gutted next day when I realised https://t.co/4KmIBA0t7x'
993,b'hey @Apple @AppleSupport why is there no training for inline skating \xf0\x9f\x9b\xbc if your fitness app?'
994,"b""@dananessel @AppleSupport @FBI @GovWhitmer @MIAttyGen @washingtonpost @WashTimes @FoxNews @SenGaryPeters @RepLawrence @FCC @FTC @JoeBiden @SpeakerPelosi @MichStatePolice @MichiganLEO @FBIDetroit @freep @detroitnews @FOX2News @KamalaHarris @Apple @TwitterSupport @briantylercohen @tim_cook @nytimes @AnaKasparian @cenkuygur @TYT @BernieSanders @MISupremeCourt @TomCottonAR @RepRaskin @RepKinzinger Starting immediately, no coincidence as far as my schedule. Hacker shut down Safari process as soon as I pulled up Safari. I had hit record right before anticipating something, that's how predictable it is. https://t.co/OxRWpBO1Y4"""
995,"b'To @AppleSupport #AppleByCelso Today wake up to just express some own wisdom here I got new one just came up now ""If ghost wasn\'t real nobody ever would be fear of darkness. You know I just bought lamp another day because I know is wrong, bad thing. Follow the light, love, god!!""'"
996,"b""@Apple @AppleSupport @tim_cook My airpods gen2 aren't still working. Apple service did nothing only lie to me they said liquid damage. I want to see record of this, because I know there is no liquid damage. Please help me. Thank you..."""
997,"b'@AppleSupport hello my click pad thingy suddenly stopped working properly, I can only click by a light tap still but not with like a harder click anymore which is my preferred way of clicking, why did this happen what can I do? https://t.co/lcoQ9qTC03'"
998,b'@pstockton @Apple @AppleSupport I missed what it had done the other day so didn\xe2\x80\x99t close active mins ring. First time this year and I was really upset as I want to close them everyday but they seem to be making it impossible'
999,b'@pstockton @Apple @AppleSupport There\xe2\x80\x99s a recalibrate function to reset via location services when that happens. This is slightly different. Also yoga with minimal HR and yet it tracks as active mins. Bonkers!!! \xf0\x9f\xa4\xac'
1000,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
1001,"b""@AppleSupport This can't be true, but it appears if you add a caption to a photo on the iPhone, the caption is NOT imported into Photos on macOS?!?  This is Photos 6.0 (330.0.150) and iOS 14.4."""
1002,b'@me_on_average @Apple @AppleSupport That\xe2\x80\x99s so frustrating! Esp as they\xe2\x80\x99re really not cheap!'
1003,"b'@AppleSupport The feature is called ""Reachability."" Found this on how to disable it. https://t.co/WClQJ1Ygap'"
1004,b'@pstockton @Apple @AppleSupport I think it\xe2\x80\x99s to do with HR. Walking doesn\xe2\x80\x99t elevate mine enough. Same with cycles and hiit workouts.'
1005,"b'come on, @applesupport, how long does it take to process and ship an iPad that you supposedly \xe2\x80\x9chave all necessary items to process\xe2\x80\x9d? it\xe2\x80\x99s been over a week, I would\xe2\x80\x99ve thought Apple would be quicker about something like this'"
1006,b'@twentysixbux @Apple @AppleSupport No it\xe2\x80\x99s terrible!  Granted I\xe2\x80\x99m fitter but I need to work impossibly hard to get active mins. Unless I run it don\xe2\x80\x99t get them and it sucks \xf0\x9f\xa4\xac'
1007,b'@MicrosoftHelps when will you fix #MicrosoftTeams so it does not overheat my @AppleSupport laptop?? #Microsoft'
1008,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
1009,b'@AppleSupport I HAVE A VIRUS ON MY IPADD ITS MY SCHOOOOL IPAD WHAT DO I DOOOO https://t.co/RokyYYjZCY'
1010,"b""The solution was that I need to get a new ID, which, great. But that still doesn't cancel my Apple+ sub. Any help from the humans at @AppleSupport?"""
1011,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
1012,"b'@AppleSupport Since 14.3 iOS update, siri does not work properly. When I say \xe2\x80\x9ccall my dad\xe2\x80\x9d it says it does not see it, but when I say \xe2\x80\x9cshow contact for my dad\xe2\x80\x9d it shows it. The same goes for other family members. and it is not working on 14.4.1 either. https://t.co/FZu1Slm9ze'"
1013,"b'@me_on_average @Apple @AppleSupport Apple Watch? That\xe2\x80\x99s made my mind up then, I\xe2\x80\x99ve been considering one but not if it\xe2\x80\x99s doing that!'"
1014,b'@AppleSupport you all need to fix your news algorithms. https://t.co/x6Uo10JtDM'
1015,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
1016,b'@AppleSupport hello! Just a suggestion. Add barre workouts to apple fitness. Thank you!'
1017,"b'Recalibrated watch yesterday. Nearly 11k steps, 7.5km, earned the intnl women\xe2\x80\x99s day badge and yet 5 active mins. Sort it out @Apple @AppleSupport it\xe2\x80\x99s driving me nuts! https://t.co/rdiWfqGcqw'"
1018,b'@WUYUTING771006 @AppleSupport @Harvard_Law I said it\xe2\x80\x99s NOT illegal. Apple allows it \xf0\x9f\x98\x82'
1019,b'@liberal_darius @denvern3 @AppleSupport I share your pain - bought a Combi-Microwave and the instruction may as well be written in Martian! 4 1/2 hours of the worst version of customer service and their still ducking the issues'
1020,b'@kalashnik0v23 @TelkomZA Have the same problem. Only @apple related sms affected. Other sms verification still come through. @TelkomZA are you aware of the problem? @AppleSupport'
1021,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1022,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1023,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
1024,b'Why is International Women\xe2\x80\x99s Day not automatically added onto the I-Calendar? @AppleSupport \n\nPlease add this to the basic calendar setup to be more inclusive. Something as small as this is still impactful.\n\n#iPhone12ProMax #Apple'
1025,b'@CsamStanAcct @AppleSupport Ok ty bestie'
1026,b'@ShesFishy @AppleSupport click on this then go to icloud&gt;photos&gt; turn them off https://t.co/vrM6nzSrwU'
1027,b'@ShesFishy @AppleSupport turn it off in your icloud settings'
1028,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1029,"b""@zorinlynx @AppleSupport Because this way your wifi can locate you according to neighbors wifi MAC address! Having the user to specify it's location is not an apple way of doing things!"""
1030,b'How do I sign into my iCloud without the pictures saving?? \xf0\x9f\xa5\xb4 I signed in and all my pics popped up but I don\xe2\x80\x99t want them in my new phone but I still want my iCloud.. HELP PLEASE!! @AppleSupport ??'
1031,b'@AppleSupport Thanks.'
1032,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
1033,b'@AppleSupport who do I need to call about subscribe fraud?'
1034,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1035,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
1036,b'MSFT products are still not well integrated with MacOS. Unable to get the outlook sync up going for past 30 minutes.. @AppleSupport @Outlook'
1037,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
1038,"b""Hey @AppleMusic and @AppleSupport - so, this is pretty infuriating. Especially since it's not a movie but a song. https://t.co/cFSBcZqAEj"""
1039,"b'@AppleSupport hi, when apple music will have a conection with discord? like spotify...'"
1040,b'@AppleSupport update face id so we can use masks or im gonna riot'
1041,b'Why is this @PostOffice @RoyalMail receipt not evidence enough that I sent my iPhone X in to @Apple for repair @AppleSupport? https://t.co/e53MAFmjjL'
1042,b'@jasonchen0325 @RachelTrue @Apple @AppleSupport There are dozens of us!!1!'
1043,"b'@AppleSupport https://t.co/x9I156GdF7 appears to be down. It just says ""Http/1.1 Service Unavailable"".'"
1044,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
1045,b'@AppleSupport 2 years old trash https://t.co/Y8s9l1E7Yp'
1046,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
1047,"b'Dear @tim_cook I know that you are busy, but I wondered whether you read my e-mail about the possibility of sharing an idea with you? It is not an #accessibility suggestion, but an iPhone / iPad suggestion that I am very confident you will like. Regards. Sarah @AppleSupport'"
1048,b'@AppleSupport Is it online as I don\xe2\x80\x99t have any \xef\xa3\xbf stores in my country'
1049,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
1050,"b""@AppleSupport I've been waiting since Jan. 9th for a resolution to my case #101292111446. Is there anybody home?"""
1051,"b'@AppleSupport my phone has the latest update. I have an iPhone 11 and sometimes I get my text message 2,4,6 or 8 hours even 12 hrs later. And recently 2 days later. Not sure what the issue is.'"
1052,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
1053,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
1054,"b'Dear , why my iPhone se old version touch pad is not working @AppleSupport @Apple'"
1055,b'@AppleSupport I have a HomePod linked to my ID so it plays my music etc. can I set it so my partner can also play music from his ID?'
1056,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1057,b'@AppleSupport India is not there in location? Why ?'
1058,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
1059,"b""RT @iamdigitalravi: Purchased Macbook 1 year 2 months ago. My charger stopped working, 1 charger comes in 7500 inr. Apple's product also de\xe2\x80\xa6"""
1060,b'@AppleSupport from last 4 years i have been facing a problem that none of the sim is supporting the network in the bloody iphones. Its better to purchase a samsung and be happy. Biggest mistake of my lide that i used iphone. Worst mobile phones ever'
1061,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
1062,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
1063,"b'@AppleSupport You people are just named SUPPORT.\nWhen a client tries to ask for a solution, you and your bosses become MUTE.'"
1064,b'I\xe2\x80\x99ve never been pissed off by @AppleSupport  but they\xe2\x80\x99ve gotten me there today.'
1065,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
1066,b'@AppleSupport Why can\xe2\x80\x99t I find the virtual class when I click on your link in your tweet?'
1067,b'@AppleSupport How/where do I report a Final Cut Pro bug?'
1068,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
1069,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
1070,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
1071,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
1072,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
1073,"b'RT @AppleSupport: Take your iPhone, iPad, and Mac skills up a notch with a free #TodayAtApple session. Learn the basics from Apple Creative\xe2\x80\xa6'"
1074,b'@AppleSupport my Apple Podcasts app on my iPhone 12 isn\xe2\x80\x99t loading any new episodes? I tried all the usual troubleshooting steps and it\xe2\x80\x99s working fine on my Mac. Any ideas?'
1075,"b""RT @iamdigitalravi: Purchased Macbook 1 year 2 months ago. My charger stopped working, 1 charger comes in 7500 inr. Apple's product also de\xe2\x80\xa6"""
1076,b'@AppleSupport There are duplicate copies of my songs in my music library. Ideas? https://t.co/7l91o7cfAG'
1077,b'@AppleSupport why is my iPhone randomly deleting contact information?'
1078,b'@Apple @AppleNews @AppleSupport - add #bitcoin &amp; #ethereum to your balance sheet.'
1079,b'Thousands of kids are forced to work in cobalt mines in the DRC. Some are maimed and even killed doing this.\n\n@AppleSupport @tim_cook @lisapjackson Your products depend on cobalt. Can you guarantee that your supply chain is 100% free of child labor? Anything else is unacceptable!'
1080,b'@Kabarejr @AppleSupport @abudioc Sorry to hear your negative experience! however their customer service never been perfect.'
1081,b'@AppleSupport Or something wrong with my new iPhone? The \xe2\x80\x9cadd data plan\xe2\x80\x9d button is not available either'
1082,"b'@AppleSupport Thanks. I tried with quick setup but the esim wasn\xe2\x80\x99t transferred. It\xe2\x80\x98s listed among data plans but as \xe2\x80\x9cno sim\xe2\x80\x9d. I tried to reuse the old QR (used on my old XS) but it says \xe2\x80\x9cinstallation is unsupported\xe2\x80\x9d on my new 12, maybe because the carrier doesn\xe2\x80\x99t support reuse of the same QR?'"
1083,"b'@zorinlynx @AppleSupport That happens with an app I use on occasion, and I have ""location"" on the pocket computer turned off by default. I turn that on long enough to make the app work right, then shut it down again immediately.'"
1084,b'@AppleSupport @instagram why is your app lighting up my green dot just scrolling the timeline\xe2\x80\xa6this shouldn\xe2\x80\x99t be the case\xe2\x80\xa6.what going on?'
1085,b'@AppleSupport I have already!!!'
1086,b'@AppleSupport this is ridiculous why have your macbooks got absolutely no space on them. https://t.co/dtaPBAYRFn'
1087,"b""Very upset &amp; appalled at @Apple's missing device investigation.2 weeks after I posted my iPhone X,I was told it's missing &amp; then was accused of sending in an empty box. My postal receipt inc weight is not enough proof-24 days later @AppleSupport have told me they won't replace it"""
1088,b'@applesupport are yall makin new games on the pippin'
1089,"b'@jack57250281 @AppleSupport If needed, select your country or region at the very top of the page to get relevant info related to your region and location. Hope this info helps.'"
1090,b'@AppleSupport How can I get my Apple Watch \xe2\x8c\x9a\xef\xb8\x8f compatible with my iPad for Apple Fitness?'
1091,"b'@jack57250281 @AppleSupport Hello, if you want some sales advice on which iPad would be best for you, I would recommend contacting them and not through Twitter as they can only help with technical support. The link you want is this one for the online store. https://t.co/2lt9AL93HG.'"
1092,b'@tim_cook You are the only one who can help me to recover photos from iCloud after 30 days. I know you have the way to do it. Photos are memorable for everyone and accidentally can happen every time. I need my photos come back. HELP ME PLEASE @AppleSupport'
1093,"b""@goatanylastwor1 @Apple @AppleSupport Hi there, we'd like to help you with this. Can you please DM us your trade information so we can look into this for you?"""
1094,b'@AppleSupport i purchase a iPhone 11 from Relince digital on 2nd of March and I m facing a issue with display'
1095,b'@tim_cook You are the only one who can help me to recover photos from iCloud after 30 days. I know you have the way to do it. Photos are memorable for everyone and accidentally can happen every time. I need my photos come back. HELP ME PLEASE @AppleSupport'
1096,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1097,b'Hey @Apple @AppleSupport pls reply. \n\n@OnePlus_IN @oneplus @BBCWorld @madebygoogle @SamsungIndia @SamsungMobile @Techmeme @WomenPeaceSec'
1098,b'@AppleSupport why is my calendar not syncing across my Apple devices.  #iPhone12ProMax #MacBookPro'
1099,b'@tim_cook You are the only one who can help me to recover photos from iCloud after 30 days. I know you have the way to do it. Photos are memorable for everyone and accidentally can happen every time. I need my photos come back. HELP ME PLEASE @AppleSupport'
1100,"b""Dangit @AppleSupport , why does WiFi have to be on to use location services on an iMac?\n\nIt's a desktop computer. It sits in one place. Let me just TELL YOU WHERE IT IS and you can use that from now on."""
1101,b'@tim_cook You are the only one who can help me to recover photos from iCloud after 30 days. I know you have the way to do it. Photos are memorable for everyone and accidentally can happen every time. I need my photos come back. HELP ME PLEASE @AppleSupport'
1102,b'@tim_cook You are the only one who can help me to recover photos from iCloud after 30 days. I know you have the way to do it. Photos are memorable for everyone and accidentally can happen every time. I need my photos come back. HELP ME PLEASE @AppleSupport'
1103,b'One of my favourite things about being on the phone to @AppleSupport is getting a support person who is Pure Cork'
1104,b'@AppleSupport The support site is broken. Can you please set up a callback? Case ID 101337010240.  Next available slot today works.'
1105,b'@tim_cook You are the only one who can help me to recover photos from iCloud after 30 days. I know you have the way to do it. Photos are memorable for everyone and accidentally can happen every time. I need my photos come back. HELP ME PLEASE @AppleSupport'
1106,b'@AppleSupport a lot of small problems with Bluetooth and AirPod connections when you have iOS and iPadOS devices near on the same Apple id and same wifi making your day at the office a pain'
1107,b'@tim_cook You are the only one who can help me to recover photos from iCloud after 30 days. I know you have the way to do it. Photos are memorable for everyone and accidentally can happen every time. I need my photos come back. HELP ME PLEASE @AppleSupport'
1108,"b""@AppleSupport It just shows 'Downloading mails' (but it doesn't do that). I re-indexed spotlight (terminal) and I removed Envelope files from MailData. That gave me the ability again to search spotlight using cmd-space and effectively downloading mails again. I don't want to do this weekly."""
1109,"b'@AppleSupport hi, been charged \xc2\xa319.99 for something and can\xe2\x80\x99t find out what. Can you help?'"
1110,"b'Over the last seven years I\xe2\x80\x99ve watch the decline of #MacBookPros. @Apple sells a product that\xe2\x80\x99s plagued with problems, namely in the quality of hardware. Just literally got my MacBook back from @AppleSupport and upon booting up.....Same Issue! The display is rainbow! What\xe2\x80\x99s fixed'"
1111,b'@tim_cook @AppleSupport Is it likely that Tim step down now? No innovation for a long while.'
1112,"b'@NPCI_BHIM @Apple @AppleSupport \nDear apple, considering the reply from NCPI, please provide the update to IPhone 6 please.  Now it is really not happy to use the device in my hands without the upi payments, when all my android mates are using it with no difficulty'"
1113,b'@AppleSupport Of course I was able to re-install the drivers!! I\xe2\x80\x99ve gotten good at it since every time it updates I have to repeat the process.'
1114,b'@Apple @AppleSupport \nPlease respond'
1115,b'https://t.co/PlWOmeJm8Y\n\nits not working @webkit @AppleSupport  #appleUK https://t.co/ApxlrtGU6u'
1116,"b'@AppleSupport Hi\xe2\x80\xa6 do you know why iCloud Drive contents don\xe2\x80\x99t show on El Cap? Signed in 2+ hours ago, but can\xe2\x80\x99t see my files (I opened &amp; created a file in each of those you see, but it didn\xe2\x80\x99t help). Does that indicator next to \xe2\x80\x98iCloud Drive\xe2\x80\x99 mean something\xe2\x80\x99s happening? https://t.co/zAMvpSzItD'"
1117,"b'@Apple @AppleSupport it\xe2\x80\x99s been less than 2 months and now I hate my very expensive AirPods Max. Keep randomly disconnecting even when I barely touch the ear cups. Tried a factory reset, nothing works. Beyond frustrating\xf0\x9f\xa4\xac'"
1118,"b'@AppleSupport hi, I\xe2\x80\x99m trying to call someone from my contacts that I used to always be able to call, a few months ago it stopped working but really want to fix it now. When she calls me it just says connecting and never connects, when I call her it doesn\xe2\x80\x99t go through.'"
1119,"b'@AppleSupport I just wanted to confirm, I have an Ipad pro 12.9"" 3rd gen, will it work on your latest Ipad Pro Magic Keyboard with the trackpad?\n\nhttps://t.co/suOr8wTzR8'"
1120,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1121,b'@AppleSupport Please look into this matter. I am highly disappointed.'
1122,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1123,b'RT @televangeles: 6 weeks of back and forth with \n@AppleSupport\n with every single person agreeing this is crappy battery.\n\nBut the final w\xe2\x80\xa6'
1124,"b'Apple what is this glitch , when I connected my AirPods to my iPhone @Apple @AppleSupport https://t.co/iywydTFAsY'"
1125,"b'@AppleSupport After your email I don\xe2\x80\x99t think you want to help and support, you threaten me to suspend my account and the issue from your side'"
1126,"b'@Apple has decided to embrace ""truth in marketing"" and rename the Genius Bar to the Dumbass Bar. @AppleSupport @AppleNews @AppleMusic @AppleTV @AppleEDU @AppleBooks https://t.co/qTpu8VOhG8'"
1127,"b'@apple @AppleSupport  This is LITERALLY the worst UI for people with big hands! I keep repeatedly sending my emails to \xe2\x80\x9cjunk\xe2\x80\x9d and then having to waste time retrieving them. Please tell me this can be customized or relocated on the next iOS update, PLEASE \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe https://t.co/Mrwvp47IwY'"
1128,"b""@AppleSupport Hi, i have recieved the leaflet for the repair and the box for my M1 Macbook, however when trying to turn off the firmware password I couldnt as it says it only applies to Intel Macs so i'm not sure what to do now?"""
1129,"b'@AppleSupport \nPlease, do not ignore my DM.\nI am a human.\nMy MacBook Pro died and I need service.'"
1130,"b'@RachelTrue @Apple @AppleSupport I thought only programming beginner made this mistake, the text should only treated as a string...'"
1131,"b'Hi @AppleSupport - I have a pair of AirPods Pro that I use with my iPhone, iPad, and iMac. All worked well until I updated the iMac to Big Sur; now get frequent failed connections on that device. Resetting AirPods fixes it for a while, but problem reappears. Any suggestions?'"
1132,"b'@AppleSupport @tim_cook your AirPod Pro quality repair program has failed, replaced both AirPods 4 months ago and now there is a connectivity issue that the \xe2\x80\x9cprogram\xe2\x80\x9d doesn\xe2\x80\x99t cover. Solution: $200 for new AirPods with 3 months warranty\xe2\x80\xa6 expected to fail in 4 again. $50 per month'"
1133,b'Can somebody explain how Apple Replay decides that a song with a lower play count is ranked above one with a higher play count? #AppleReplay @AppleSupport https://t.co/OdboQmvyDx'
1134,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1135,b'Never thought I will say this but @AppleSupport in the store has been a HUGE disappointment.'
1136,b'@AppleSupport If your company going under?'
1137,b'@AppleSupport Sir you exchange my update'
1138,"b""@AppleSupport literally all of my passwords say they were in a data leak, also I just got a message popping up of a login request from Asia (while I'm in the UK), so it's safe to assume your password manager was hacked then??"""
1139,"b""@AppleSupport Hi, I ordered an iPad from you that it seems UPS is now returning to sender because they couldn't deliver. Can you help?"""
1140,b'\xc2\xa3669 to fix a MacBook Pro display issue which Apple has admitted is a design flaw and offers a free repair program for the 13\xe2\x80\x9d but not the 15\xe2\x80\x9d? Absolute disgrace @AppleSupport'
1141,b'@MEGKEILMAN @AppleSupport done be afraid to tag them lol'
1142,"b'The Apple podcasts feed of the #HandsomeGeniusClub is doing this weird thing where is only retains 10 episodes of the show.  As each new episode debuts, it drops the oldest episode in the pipeline.  I\xe2\x80\x99m currently on hold with @AppleSupport hoping to get that fixed.'"
1143,b'RT @RachelTrue: Can get your coders to free my last name from icloud jail?\nBeen locked out for 6+ months because of an uncapitalized t in T\xe2\x80\xa6'
1144,"b'@AppleSupport @LolaMeringue Oh really do u really DO everyrhing you can, bot?'"
1145,"b'@AppleSupport @giri24365 Why you dont reply my DM, it was four days ago'"
1146,"b""@AppleSupport @Asha25498173 Why you don't reply my message (DM) since four days ago?"""
1147,"b'@AppleSupport: on iPhone 12 Pro, iOS 14.4: why does Pages app, and now notes app, freeze when I select all to copy into another doc?\nPlease help.'"
